Position Holder,Issuer,ISIN,Position Date,Net Short Position (%),Reporting Date,Cancellation Date
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-12-30,"0,84",2025-12-31,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-11-21,"0,7",2025-11-24,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-10-24,"0,6",2025-10-27,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-08-27,"0,5",2025-09-09,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-08-05,"0,48",2025-08-06,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-06-12,"0,59",2025-06-13,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-05-23,"0,69",2025-05-26,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-05-19,"0,71",2025-05-20,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-05-12,"0,69",2025-05-13,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-04-28,"0,7",2025-04-29,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-04-25,"0,69",2025-04-28,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-04-09,"0,71",2025-04-10,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-03-21,"0,68",2025-03-24,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-03-11,"0,7",2025-03-12,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2024-12-27,"0,64",2024-12-30,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2024-12-13,"0,5",2024-12-16,
AEW Global Advisors (Europe) Limited,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-09-06,"0,49",2024-09-06,
AEW Global Advisors (Europe) Limited,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-09-05,"0,59",2024-09-05,
"AEW Global Advisors Europe, ltd",CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-03-25,"0,63",2024-03-25,
AHL Partners LLP,voestalpine AG,AT0000937503,2019-10-29,"0,48",2019-10-30,
AHL Partners LLP,voestalpine AG,AT0000937503,2019-09-12,"0,59",2019-09-13,
AHL Partners LLP,voestalpine AG,AT0000937503,2019-08-28,"0,6",2019-08-28,
AHL Partners LLP,voestalpine AG,AT0000937503,2019-08-15,"0,5",2019-08-16,
AKO Capital LLP,Andritz AG,AT0000730007,2022-09-28,"0,49",2022-09-29,
AKO Capital LLP,Andritz AG,AT0000730007,2022-09-07,"0,59",2022-09-08,
AKO Capital LLP,Andritz AG,AT0000730007,2022-09-05,"0,64",2022-09-06,
AKO Capital LLP,Andritz AG,AT0000730007,2022-09-02,"0,74",2022-09-05,
AKO Capital LLP,Andritz AG,AT0000730007,2022-09-01,"0,84",2022-09-02,
AKO Capital LLP,Andritz AG,AT0000730007,2022-08-17,"0,93",2022-08-18,
AKO Capital LLP,Andritz AG,AT0000730007,2022-08-11,"1,08",2022-08-12,
AKO Capital LLP,Andritz AG,AT0000730007,2022-08-01,"1,16",2022-08-02,
AKO Capital LLP,Andritz AG,AT0000730007,2022-06-16,"1,26",2022-06-17,
AKO Capital LLP,Andritz AG,AT0000730007,2022-06-10,"1,36",2022-06-13,
AKO Capital LLP,Andritz AG,AT0000730007,2022-05-30,"1,4",2022-05-31,
AKO Capital LLP,Andritz AG,AT0000730007,2022-05-09,"1,38",2022-05-10,
AKO Capital LLP,Andritz AG,AT0000730007,2022-04-14,"1,46",2022-04-15,
AKO Capital LLP,Andritz AG,AT0000730007,2022-03-18,"1,52",2022-03-21,
AKO Capital LLP,Andritz AG,AT0000730007,2021-10-06,"1,49",2021-10-07,
AKO Capital LLP,Andritz AG,AT0000730007,2021-04-06,"1,52",2021-04-07,
AKO Capital LLP,Andritz AG,AT0000730007,2021-03-24,"1,43",2021-03-25,
AKO Capital LLP,Andritz AG,AT0000730007,2021-03-23,"1,31",2021-03-24,
AKO Capital LLP,Andritz AG,AT0000730007,2021-03-11,"1,25",2021-03-12,
AKO Capital LLP,Andritz AG,AT0000730007,2021-03-09,"1,19",2021-03-10,
AKO Capital LLP,Andritz AG,AT0000730007,2021-03-02,"1,03",2021-03-03,
AKO Capital LLP,Andritz AG,AT0000730007,2021-02-24,"0,9",2021-02-25,
AKO Capital LLP,Andritz AG,AT0000730007,2021-02-11,"0,81",2021-02-12,
AKO Capital LLP,Andritz AG,AT0000730007,2021-02-03,"0,74",2021-02-04,
AKO Capital LLP,Andritz AG,AT0000730007,2021-01-12,"0,64",2021-01-13,
AKO Capital LLP,Andritz AG,AT0000730007,2020-11-05,"0,51",2020-11-06,
AKO Capital LLP,Andritz AG,AT0000730007,2020-10-28,"0,48",2020-10-29,
AKO Capital LLP,Andritz AG,AT0000730007,2020-09-17,"0,5",2020-09-18,
AKO Capital LLP,Andritz AG,AT0000730007,2020-03-05,"0,16",2020-03-06,
AKO Capital LLP,Andritz AG,AT0000730007,2020-03-04,"0,51",2020-03-05,
AKO Capital LLP,Andritz AG,AT0000730007,2020-02-03,"0,93",2020-02-04,
AKO Capital LLP,Andritz AG,AT0000730007,2019-10-23,"0,81",2019-10-24,
AKO Capital LLP,Andritz AG,AT0000730007,2019-08-26,"0,73",2019-08-27,
AKO Capital LLP,Andritz AG,AT0000730007,2019-08-02,"0,69",2019-08-05,
AKO Capital LLP,Andritz AG,AT0000730007,2018-12-19,"0,99",2018-12-20,
AKO Capital LLP,Andritz AG,AT0000730007,2018-10-08,"1,06",2018-10-09,
AKO Capital LLP,Andritz AG,AT0000730007,2018-09-05,"0,93",2018-09-06,
AKO Capital LLP,Andritz AG,AT0000730007,2018-07-27,"0,8",2018-07-30,
AKO Capital LLP,Andritz AG,AT0000730007,2018-06-25,"0,71",2018-06-26,
AKO Capital LLP,Andritz AG,AT0000730007,2018-05-09,"0,6",2018-05-10,
AKO Capital LLP,Andritz AG,AT0000730007,2018-04-30,"0,58",2018-05-01,
AKO Capital LLP,Andritz AG,AT0000730007,2018-02-08,"0,62",2018-02-09,
AKO Capital LLP,Andritz AG,AT0000730007,2017-12-19,"0,5",2017-12-20,
AKO Capital LLP,Andritz AG,AT0000730007,2016-10-20,"0,49",2016-10-21,
AKO Capital LLP,Andritz AG,AT0000730007,2016-10-06,"0,57",2016-10-07,
AKO Capital LLP,Andritz AG,AT0000730007,2016-10-03,"0,69",2016-10-04,
AKO Capital LLP,Andritz AG,AT0000730007,2016-09-29,"0,76",2016-09-30,
AKO Capital LLP,Andritz AG,AT0000730007,2016-09-26,"0,86",2016-09-27,
AKO Capital LLP,Andritz AG,AT0000730007,2016-09-16,"0,98",2016-09-19,
AKO Capital LLP,Andritz AG,AT0000730007,2016-08-05,"1,08",2016-08-08,
AKO Capital LLP,Andritz AG,AT0000730007,2016-05-27,"1,1",2016-05-30,
AKO Capital LLP,Andritz AG,AT0000730007,2016-05-04,"1,01",2016-05-05,
AKO Capital LLP,Andritz AG,AT0000730007,2016-04-18,"1,29",2016-04-19,
AKO Capital LLP,Andritz AG,AT0000730007,2016-04-12,"1,32",2016-04-13,
AKO Capital LLP,Andritz AG,AT0000730007,2016-04-05,"1,49",2016-04-06,
AKO Capital LLP,Andritz AG,AT0000730007,2016-03-08,"1,5",2016-03-09,
AKO Capital LLP,Andritz AG,AT0000730007,2016-03-04,"1,43",2016-03-07,
AKO Capital LLP,Andritz AG,AT0000730007,2016-02-15,"1,35",2016-02-16,
AKO Capital LLP,Andritz AG,AT0000730007,2016-02-12,"1,28",2016-02-15,
AKO Capital LLP,Andritz AG,AT0000730007,2016-01-26,"1,12",2016-01-27,
AKO Capital LLP,Andritz AG,AT0000730007,2016-01-12,"1,07",2016-01-13,
AKO Capital LLP,Andritz AG,AT0000730007,2015-10-02,"0,9",2015-10-05,
AKO Capital LLP,Andritz AG,AT0000730007,2015-09-30,"0,82",2015-10-01,
AKO Capital LLP,Andritz AG,AT0000730007,2015-09-18,"0,72",2015-09-21,
AKO Capital LLP,Andritz AG,AT0000730007,2015-09-14,"0,64",2015-09-15,
AKO Capital LLP,Andritz AG,AT0000730007,2015-09-10,"0,54",2015-09-11,
AKO Capital LLP,Raiffeisen Bank International AG,AT0000606306,2015-11-23,"0,47",2015-11-24,
AKO Capital LLP,Raiffeisen Bank International AG,AT0000606306,2015-10-27,"0,58",2015-10-28,
AKO Capital LLP,Raiffeisen Bank International AG,AT0000606306,2015-10-14,"0,68",2015-10-15,
AKO Capital LLP,Raiffeisen Bank International AG,AT0000606306,2015-06-08,"0,72",2015-06-09,
AKO Capital LLP,Raiffeisen Bank International AG,AT0000606306,2015-01-27,"0,6",2015-01-28,
AKO Capital LLP,Raiffeisen Bank International AG,AT0000606306,2014-12-17,"0,5",2014-12-18,
Algert Global LLC,Zumtobel Group AG,AT0000837307,2016-07-22,"18,5",2016-07-23,2016-07-29
Alvento Capital Partners LLP,VERBUND AG,AT0000746409,2016-12-06,"2,01",2016-12-07,2016-12-07
Alvento Capital Partners LLP,VERBUND AG,AT0000746409,2016-01-13,"3,56",2016-01-14,2016-01-14
Astellon Capital Partners,Wienerberger AG,AT0000831706,2013-10-10,"0,49",2013-10-10,
Astellon Capital Partners,Wienerberger AG,AT0000831706,2013-07-01,"1,05",2013-07-02,
"Axial Capital Management, LLC",Österreichische Post Aktiengesellschaft,AT0000APOST4,2013-05-21,"0,49",2013-05-22,
"Axial Capital Management, LLC",Österreichische Post Aktiengesellschaft,AT0000APOST4,2013-04-11,"0,5",2013-04-29,
"Axial Capital Management, LLC",Österreichische Post Aktiengesellschaft,AT0000APOST4,2012-12-14,"0,47",2012-12-17,
"Axial Capital Management, LLC",Österreichische Post Aktiengesellschaft,AT0000APOST4,2012-11-19,"0,51",2012-11-20,
"BlackRock Institutional Trust Company, National Association",conwert Immobilien Invest SE,AT0000697750,2014-12-09,"0,49",2014-12-10,
"BlackRock Institutional Trust Company, National Association",conwert Immobilien Invest SE,AT0000697750,2014-11-28,"0,58",2014-12-01,
"BlackRock Institutional Trust Company, National Association",conwert Immobilien Invest SE,AT0000697750,2014-10-29,"0,6",2014-10-30,
"BlackRock Institutional Trust Company, National Association",conwert Immobilien Invest SE,AT0000697750,2014-10-02,"0,51",2014-10-03,
"BlackRock Institutional Trust Company, National Association",Lenzing Aktiengesellschaft,AT0000644505,2018-11-05,"0,49",2018-11-06,
"BlackRock Institutional Trust Company, National Association",Lenzing Aktiengesellschaft,AT0000644505,2018-10-18,"0,51",2018-10-19,
"BlackRock Institutional Trust Company, National Association",Lenzing Aktiengesellschaft,AT0000644505,2018-09-13,"0,49",2018-09-14,
"BlackRock Institutional Trust Company, National Association",Lenzing Aktiengesellschaft,AT0000644505,2018-08-10,"0,59",2018-08-13,
"BlackRock Institutional Trust Company, National Association",Lenzing Aktiengesellschaft,AT0000644505,2018-08-09,"0,6",2018-08-10,
"BlackRock Institutional Trust Company, National Association",Lenzing Aktiengesellschaft,AT0000644505,2018-08-08,"0,59",2018-08-09,
"BlackRock Institutional Trust Company, National Association",Lenzing Aktiengesellschaft,AT0000644505,2018-07-09,"0,6",2018-07-10,
"BlackRock Institutional Trust Company, National Association",Lenzing Aktiengesellschaft,AT0000644505,2018-06-29,"0,5",2018-07-02,
"BlackRock Institutional Trust Company, National Association",Raiffeisen Bank International AG,AT0000606306,2018-05-24,"0,49",2018-05-25,
"BlackRock Institutional Trust Company, National Association",Raiffeisen Bank International AG,AT0000606306,2018-05-22,"0,5",2018-05-23,
"BlackRock Institutional Trust Company, National Association",UNIQA Insurance Group AG,AT0000821103,2018-06-14,"0,49",2018-06-15,
"BlackRock Institutional Trust Company, National Association",UNIQA Insurance Group AG,AT0000821103,2018-05-29,"0,59",2018-05-30,
"BlackRock Institutional Trust Company, National Association",UNIQA Insurance Group AG,AT0000821103,2018-03-22,"0,6",2018-03-23,
"BlackRock Institutional Trust Company, National Association",UNIQA Insurance Group AG,AT0000821103,2017-10-11,"0,5",2017-10-12,
"BlackRock Institutional Trust Company, National Association",voestalpine AG,AT0000937503,2019-03-27,"0,48",2019-03-28,
"BlackRock Institutional Trust Company, National Association",voestalpine AG,AT0000937503,2019-02-11,"0,51",2019-02-12,
"BlackRock Institutional Trust Company, National Association",Wienerberger AG,AT0000831706,2018-05-22,"0,48",2018-05-23,
"BlackRock Institutional Trust Company, National Association",Wienerberger AG,AT0000831706,2018-05-07,"0,5",2018-05-08,
"BlackRock Institutional Trust Company, National Association",Wienerberger AG,AT0000831706,2013-10-29,"0,49",2013-10-30,
"BlackRock Institutional Trust Company, National Association",Wienerberger AG,AT0000831706,2013-08-28,"0,5",2013-08-29,
"BlackRock Institutional Trust Company, National Association",Wienerberger AG,AT0000831706,2013-07-23,"0,43",2013-07-24,
"BlackRock Institutional Trust Company, National Association",Wienerberger AG,AT0000831706,2013-07-11,"0,5",2013-07-12,
BlackRock Investment Management (UK) Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2018-07-31,"0,44",2018-08-01,
BlackRock Investment Management (UK) Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2018-06-28,"0,51",2018-06-29,
BlackRock Investment Management (UK) Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2018-06-27,"0,65",2018-06-28,
BlackRock Investment Management (UK) Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2018-02-23,"0,7",2018-02-26,
BlackRock Investment Management (UK) Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2018-02-20,"0,67",2018-02-21,
BlackRock Investment Management (UK) Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2018-02-16,"0,51",2018-02-19,
BlackRock Investment Management (UK) Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2017-07-07,"0,49",2017-07-10,
BlackRock Investment Management (UK) Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2017-07-04,"0,58",2017-07-05,
BlackRock Investment Management (UK) Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2017-06-26,"0,69",2017-06-27,
BlackRock Investment Management (UK) Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2017-06-20,"0,79",2017-06-21,
BlackRock Investment Management (UK) Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2017-05-10,"0,8",2017-05-11,
BlackRock Investment Management (UK) Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2017-04-26,"0,7",2017-04-27,
BlackRock Investment Management (UK) Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2017-04-12,"0,61",2017-04-13,
BlackRock Investment Management (UK) Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2017-03-22,"0,5",2017-03-23,
BlackRock Investment Management (UK) Limited,FACC AG,AT00000FACC2,2015-06-29,"0,49",2015-06-30,
BlackRock Investment Management (UK) Limited,FACC AG,AT00000FACC2,2015-06-18,"0,5",2015-06-19,
BlackRock Investment Management (UK) Limited,OMV Aktiengesellschaft,AT0000743059,2016-03-08,"0,47",2016-03-09,
BlackRock Investment Management (UK) Limited,OMV Aktiengesellschaft,AT0000743059,2016-03-03,"0,57",2016-03-04,
BlackRock Investment Management (UK) Limited,OMV Aktiengesellschaft,AT0000743059,2016-02-11,"0,64",2016-02-12,
BlackRock Investment Management (UK) Limited,OMV Aktiengesellschaft,AT0000743059,2016-02-10,"0,58",2016-02-11,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2023-11-17,"0,03",2023-11-20,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2023-11-16,"2,33",2023-11-17,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2023-11-07,"2,49",2023-11-08,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2023-10-05,"2,59",2023-10-06,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2023-09-26,"2,69",2023-09-27,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2023-09-13,"2,79",2023-09-14,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2023-07-05,"2,83",2023-07-06,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2023-06-01,"2,75",2023-06-02,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2023-03-15,"2,69",2023-03-16,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2022-12-23,"2,79",2022-12-26,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2022-04-20,"2,8",2022-04-21,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2022-04-19,"2,76",2022-04-20,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2022-01-04,"2,68",2022-01-05,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2021-12-29,"2,54",2021-12-30,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2021-12-21,"2,41",2021-12-22,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2021-12-10,"2,3",2021-12-13,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2021-11-26,"2,22",2021-11-29,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2021-11-25,"2,13",2021-11-26,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2021-11-22,"2,06",2021-11-23,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2021-11-19,"1,91",2021-11-22,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2021-05-17,"1,71",2021-05-18,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2021-05-12,"1,66",2021-05-13,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2020-11-18,"1,5",2020-11-19,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2020-11-16,"1,47",2020-11-17,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2020-11-13,"1,38",2020-11-16,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2020-10-27,"1,25",2020-10-28,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2020-10-21,"1,39",2020-10-22,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2020-09-23,"1,49",2020-09-24,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2020-09-21,"1,56",2020-09-22,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2020-09-17,"1,64",2020-09-18,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2020-09-14,"1,79",2020-09-15,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2020-09-11,"1,8",2020-09-14,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2020-06-16,"2,12",2020-06-17,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2020-03-11,"2,03",2020-03-12,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2020-03-09,"1,83",2020-03-10,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2020-03-06,"1,66",2020-03-09,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2020-03-03,"1,5",2020-03-04,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2020-03-02,"1,33",2020-03-03,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2020-02-27,"1,22",2020-02-28,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2020-02-26,"1,01",2020-02-27,
BlackRock Investment Management (UK) Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2020-02-21,"0,53",2020-02-24,
BlackRock Investment Management (UK) Limited,RHI AG,AT0000676903,2016-08-11,"0,49",2016-08-12,
BlackRock Investment Management (UK) Limited,RHI AG,AT0000676903,2015-10-01,"0,5",2015-10-02,
BlackRock Investment Management (UK) Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2016-10-14,"0,49",2016-10-17,
BlackRock Investment Management (UK) Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2016-08-31,"0,5",2016-09-01,
BlackRock Investment Management (UK) Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2016-08-11,"0,49",2016-08-12,
BlackRock Investment Management (UK) Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2016-06-06,"0,51",2016-06-07,
BlackRock Investment Management (UK) Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2016-04-22,"0,49",2016-04-25,
BlackRock Investment Management (UK) Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2016-03-01,"0,59",2016-03-02,
BlackRock Investment Management (UK) Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2016-02-01,"0,69",2016-02-02,
BlackRock Investment Management (UK) Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2016-01-27,"0,71",2016-01-28,
BlackRock Investment Management (UK) Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2016-01-07,"0,6",2016-01-08,
BlackRock Investment Management (UK) Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2016-01-05,"0,59",2016-01-06,
BlackRock Investment Management (UK) Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2015-12-21,"0,6",2015-12-22,
BlackRock Investment Management (UK) Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2015-11-23,"0,5",2015-11-24,
BlackRock Investment Management (UK) Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2015-10-08,"0,48",2015-10-09,
BlackRock Investment Management (UK) Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2015-08-21,"0,5",2015-08-24,
BlackRock Investment Management (UK) Limited,Telekom Austria Aktiengesellschaft,AT0000720008,2013-10-30,"0,49",2013-10-31,
BlackRock Investment Management (UK) Limited,Telekom Austria Aktiengesellschaft,AT0000720008,2013-10-22,"0,59",2013-10-23,
BlackRock Investment Management (UK) Limited,Telekom Austria Aktiengesellschaft,AT0000720008,2013-10-17,"0,62",2013-10-18,
BlackRock Investment Management (UK) Limited,Telekom Austria Aktiengesellschaft,AT0000720008,2013-09-10,"0,5",2013-09-11,
BlackRock Investment Management (UK) Limited,VERBUND AG,AT0000746409,2016-04-22,"0,49",2016-04-25,
BlackRock Investment Management (UK) Limited,VERBUND AG,AT0000746409,2016-01-21,"0,5",2016-01-22,
BlackRock Investment Management (UK) Limited,Wienerberger AG,AT0000831706,2017-10-25,"0,48",2017-10-26,
BlackRock Investment Management (UK) Limited,Wienerberger AG,AT0000831706,2017-10-16,"0,5",2017-10-17,
BlackRock Investment Management (UK) Limited,Zumtobel Group AG,AT0000837307,2016-07-21,"0,49",2016-07-22,
BlackRock Investment Management (UK) Limited,Zumtobel Group AG,AT0000837307,2016-07-18,"0,59",2016-07-19,
BlackRock Investment Management (UK) Limited,Zumtobel Group AG,AT0000837307,2016-07-14,"0,67",2016-07-15,
BlackRock Investment Management (UK) Limited,Zumtobel Group AG,AT0000837307,2016-07-12,"0,78",2016-07-13,
BlackRock Investment Management (UK) Limited,Zumtobel Group AG,AT0000837307,2016-07-07,"0,88",2016-07-08,
BlackRock Investment Management (UK) Limited,Zumtobel Group AG,AT0000837307,2016-07-04,"0,98",2016-07-05,
BlackRock Investment Management (UK) Limited,Zumtobel Group AG,AT0000837307,2016-06-30,"1,05",2016-07-01,
BlackRock Investment Management (UK) Limited,Zumtobel Group AG,AT0000837307,2016-06-29,"1,19",2016-06-30,
BlackRock Investment Management (UK) Limited,Zumtobel Group AG,AT0000837307,2016-05-27,"1,29",2016-05-30,
BlackRock Investment Management (UK) Limited,Zumtobel Group AG,AT0000837307,2016-04-27,"1,3",2016-04-28,
BlackRock Investment Management (UK) Limited,Zumtobel Group AG,AT0000837307,2016-04-20,"1,22",2016-04-21,
BlackRock Investment Management (UK) Limited,Zumtobel Group AG,AT0000837307,2016-04-18,"1,13",2016-04-19,
BlackRock Investment Management (UK) Limited,Zumtobel Group AG,AT0000837307,2016-02-26,1,2016-02-29,
BlackRock Investment Management (UK) Limited,Zumtobel Group AG,AT0000837307,2016-02-10,"0,99",2016-02-11,
BlackRock Investment Management (UK) Limited,Zumtobel Group AG,AT0000837307,2016-02-09,1,2016-02-10,
BlackRock Investment Management (UK) Limited,Zumtobel Group AG,AT0000837307,2016-02-01,"0,9",2016-02-02,
BlackRock Investment Management (UK) Limited,Zumtobel Group AG,AT0000837307,2016-01-18,"0,8",2016-01-19,
BlackRock Investment Management (UK) Limited,Zumtobel Group AG,AT0000837307,2016-01-05,"0,71",2016-01-06,
BlackRock Investment Management (UK) Limited,Zumtobel Group AG,AT0000837307,2015-12-15,"0,61",2015-12-16,
BlackRock Investment Management (UK) Limited,Zumtobel Group AG,AT0000837307,2015-11-20,"0,5",2015-11-23,
BNP Paribas SA,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2014-07-25,"0,02",2014-07-28,
